alpha,Cl,Cm
-1.05,0.704,-0.203
-0.49,0.764,-0.204
0.01,0.819,-0.202
0.46,0.859,-0.202
1.04,0.922,-0.2
1.57,0.969,-0.2
1.99,1.023,-0.2
2.55,1.08,-0.199
3.09,1.129,-0.196
3.63,1.188,-0.197
4.15,1.24,-0.194
4.61,1.283,-0.194
5.13,1.327,-0.19
5.65,1.385,-0.191
6.18,1.425,-0.186
6.62,1.467,-0.185
7.19,1.509,-0.18
7.68,1.547,-0.179
8.24,1.593,-0.175
8.72,1.621,-0.172
9.26,1.647,-0.166
9.74,1.669,-0.162
10.31,1.692,-0.155
10.85,1.705,-0.152
11.28,1.717,-0.145
11.74,1.723,-0.143
12.27,1.728,-0.137
12.76,1.733,-0.135
13.28,1.741,-0.13
13.81,1.738,-0.129
14.33,1.749,-0.126
14.8,1.753,-0.127
15.29,1.762,-0.125
15.8,1.763,-0.126
16.32,1.759,-0.125
16.81,1.758,-0.127
17.3,1.765,-0.128
17.8,1.754,-0.129
18.25,1.756,-0.13
18.8,1.763,-0.137
19.28,1.741,-0.135
19.77,1.726,-0.139
20.3,1.724,-0.141
,,
alpha,Cl,Cm
-10.2,-0.235,-0.025
-9.55,-0.208,-0.035
-9.1,-0.193,-0.048
-8.57,-0.155,-0.061
-8.32,-0.152,-0.076
-7.62,-0.085,-0.112
-7.31,-0.042,-0.132
-6.69,0.072,-0.181
-6.11,0.137,-0.186
-5.64,0.188,-0.187
-5.04,0.257,-0.19
-4.64,0.302,-0.192
-4.13,0.361,-0.193
-3.63,0.422,-0.195
-3.04,0.493,-0.198
-2.57,0.546,-0.199
-2.02,0.616,-0.201
-1.52,0.666,-0.201
-0.97,0.72,-0.2
-0.54,0.77,-0.201
-0.02,0.819,-0.199
0.5,0.873,-0.199
1,0.928,-0.198
1.49,0.984,-0.198
2.08,1.031,-0.196
2.52,1.081,-0.195
3.15,1.143,-0.194
3.63,1.189,-0.193
4.17,1.243,-0.191
4.62,1.3,-0.191
5.19,1.345,-0.187
5.62,1.395,-0.187
6.17,1.444,-0.183
6.68,1.485,-0.18
7.17,1.525,-0.177
7.74,1.572,-0.174
8.23,1.599,-0.168
8.68,1.622,-0.165
9.27,1.656,-0.158
9.71,1.681,-0.155
10.28,1.687,-0.147
10.74,1.711,-0.143
11.37,1.714,-0.136
11.79,1.727,-0.135
12.32,1.723,-0.13
12.74,1.736,-0.129
13.3,1.739,-0.125
13.75,1.744,-0.126
14.28,1.749,-0.125
14.86,1.745,-0.125
15.35,1.747,-0.123
15.82,1.763,-0.127
16.34,1.76,-0.126
16.74,1.753,-0.128
17.34,1.746,-0.127
17.82,1.732,-0.13
18.35,1.729,-0.131
18.77,1.73,-0.135
19.31,1.737,-0.138
19.77,1.72,-0.144
20.29,1.715,-0.145
